shipment_id,order_id,carrier,product_id,product_name,quantity,price_per_unit,total_amount,shipment_date
1,1,Деловые линии,1002,Тормозные колодки задние,2,272.41,544.82,2025-06-26
2,2,Деловые линии,1004,Воздушный фильтр,14,283.04,3962.54,2025-12-25
3,3,Почта России,1011,Генератор,7,157.18,1100.29,2025-02-26
4,5,СДЭК,1020,Лампы H7,4,261.13,1044.53,2025-04-30
5,6,Почта России,1008,Ремень ГРМ,2,154.73,309.47,2025-08-20
6,8,Почта России,1003,Масляный фильтр,18,166.05,2988.88,2025-01-30
7,9,СДЭК,1007,Амортизатор задний,17,249.67,4244.37,2025-07-01
8,10,Почта России,1009,Помпа водяная,2,198.92,397.85,2025-11-24
9,11,ПЭК,1011,Генератор,18,328.7,5916.51,2025-05-16
10,12,ПЭК,1013,Аккумулятор 60Ah,10,274.35,2743.54,2025-09-01
11,13,Деловые линии,1007,Амортизатор задний,3,368.06,1104.19,2025-02-25
12,14,Байкал Сервис,1014,Аккумулятор 75Ah,5,271.6,1357.98,2025-05-21
13,15,Почта России,1012,Стартер,16,159.84,2557.47,2025-02-03
14,16,Байкал Сервис,1018,Щётки стеклоочистителя,1,226.59,226.59,2025-03-23
15,17,Деловые линии,1005,Свечи зажигания,8,282.61,2260.9,2025-11-13
16,18,Деловые линии,1003,Масляный фильтр,19,372.97,7086.47,2025-01-05
17,19,СДЭК,1015,Моторное масло 5W-40,20,238.79,4775.79,2025-05-31
18,20,Байкал Сервис,1020,Лампы H7,11,219.86,2418.48,2025-10-06
19,21,Почта России,1004,Воздушный фильтр,16,165.97,2655.54,2025-02-16
20,22,Деловые линии,1015,Моторное масло 5W-40,6,370.08,2220.48,2025-10-05
21,23,ПЭК,1020,Лампы H7,10,279.05,2790.5,2025-03-22
22,24,Байкал Сервис,1003,Масляный фильтр,19,265.81,5050.38,2025-09-23
23,25,Деловые линии,1017,Тормозная жидкость DOT-4,9,291.26,2621.38,2025-02-17
24,26,СДЭК,1014,Аккумулятор 75Ah,11,224.54,2469.99,2025-01-09
25,27,Деловые линии,1003,Масляный фильтр,20,258.73,5174.55,2025-12-12
26,28,Байкал Сервис,1015,Моторное масло 5W-40,3,273.23,819.7,2025-01-31
27,29,Почта России,1017,Тормозная жидкость DOT-4,9,201.39,1812.54,2025-07-28
28,30,Байкал Сервис,1005,Свечи зажигания,10,276.43,2764.34,2025-08-07
29,31,Деловые линии,1007,Амортизатор задний,9,263.42,2370.82,2025-01-22
30,32,Почта России,1008,Ремень ГРМ,5,196.82,984.12,2025-03-16
31,33,СДЭК,1013,Аккумулятор 60Ah,19,201.43,3827.13,2025-07-08
32,34,Почта России,1004,Воздушный фильтр,12,165.2,1982.35,2025-11-14
33,35,Байкал Сервис,1019,Лампы H4,11,223.66,2460.28,2025-10-05
34,36,Деловые линии,1001,Тормозные колодки передние,4,383.27,1533.1,2025-09-26
35,37,СДЭК,1019,Лампы H4,6,294.63,1767.77,2025-07-30
36,38,СДЭК,1009,Помпа водяная,16,287.99,4607.89,2025-07-24
37,39,СДЭК,1012,Стартер,9,252.4,2271.58,2025-12-11
38,40,Деловые линии,1017,Тормозная жидкость DOT-4,9,334.43,3009.83,2025-12-14
39,41,СДЭК,1014,Аккумулятор 75Ah,7,247.43,1732.03,2025-07-28
40,42,ПЭК,1003,Масляный фильтр,19,257.23,4887.28,2025-02-27
41,43,СДЭК,1003,Масляный фильтр,4,290.97,1163.89,2025-11-14
42,44,Байкал Сервис,1020,Лампы H7,17,282.61,4804.41,2025-12-08
43,45,Байкал Сервис,1016,Антифриз G12,20,318.99,6379.75,2025-09-16
44,46,СДЭК,1009,Помпа водяная,20,249.81,4996.27,2025-07-19
45,47,Почта России,1010,Радиатор охлаждения,2,157.39,314.78,2025-02-20
46,48,Деловые линии,1014,Аккумулятор 75Ah,7,291.01,2037.08,2025-01-31
47,49,Деловые линии,1013,Аккумулятор 60Ah,8,369.42,2955.36,2025-04-28
48,50,Деловые линии,1008,Ремень ГРМ,16,307.47,4919.56,2025-09-11
49,51,Почта России,1018,Щётки стеклоочистителя,10,190.06,1900.62,2025-10-25
50,52,Почта России,1017,Тормозная жидкость DOT-4,7,183.05,1281.34,2025-09-08
51,53,Почта России,1009,Помпа водяная,17,158.48,2694.18,2025-03-13
52,54,Почта России,1003,Масляный фильтр,16,188.64,3018.22,2025-02-24
53,55,Байкал Сервис,1014,Аккумулятор 75Ah,10,308.55,3085.52,2025-11-24
54,56,Почта России,1015,Моторное масло 5W-40,1,175.13,175.13,2025-06-05
55,57,Почта России,1002,Тормозные колодки задние,4,208.88,835.51,2025-10-29
56,59,Почта России,1002,Тормозные колодки задние,19,177.54,3373.35,2025-03-26
57,60,ПЭК,1005,Свечи зажигания,4,327.8,1311.21,2025-02-04
58,61,СДЭК,1015,Моторное масло 5W-40,14,235.22,3293.04,2025-05-28
59,62,Почта России,1008,Ремень ГРМ,12,190.22,2282.67,2025-04-25
60,63,СДЭК,1020,Лампы H7,8,295.01,2360.04,2025-07-16
61,64,Деловые линии,1010,Радиатор охлаждения,12,328.48,3941.77,2025-11-18
62,65,Деловые линии,1006,Амортизатор передний,10,293.08,2930.78,2025-09-09
63,66,Почта России,1002,Тормозные колодки задние,3,188.07,564.2,2025-08-19
64,67,ПЭК,1002,Тормозные колодки задние,6,303.55,1821.29,2025-09-13
65,68,Байкал Сервис,1005,Свечи зажигания,17,305.8,5198.56,2025-07-19
66,69,Почта России,1019,Лампы H4,2,173.64,347.29,2025-11-20
67,70,Почта России,1007,Амортизатор задний,2,163.65,327.3,2025-11-12
68,71,Байкал Сервис,1020,Лампы H7,14,269.81,3777.3,2025-08-22
69,72,ПЭК,1004,Воздушный фильтр,11,276.75,3044.25,2025-07-28
70,73,СДЭК,1001,Тормозные колодки передние,1,217.41,217.41,2025-12-13
71,74,Почта России,1001,Тормозные колодки передние,5,158.12,790.58,2025-10-12
72,75,Байкал Сервис,1002,Тормозные колодки задние,1,270.67,270.67,2025-03-24
73,76,Деловые линии,1012,Стартер,7,296.0,2071.97,2025-07-24
74,77,ПЭК,1020,Лампы H7,10,233.42,2334.19,2025-10-15
75,78,Деловые линии,1014,Аккумулятор 75Ah,6,305.11,1830.64,2025-10-18
76,79,Байкал Сервис,1014,Аккумулятор 75Ah,15,277.92,4168.75,2025-09-02
77,81,Почта России,1014,Аккумулятор 75Ah,17,176.34,2997.86,2025-10-23
78,82,Байкал Сервис,1011,Генератор,6,274.78,1648.66,2025-11-24
79,83,Деловые линии,1002,Тормозные колодки задние,18,366.45,6596.12,2025-11-17
80,84,СДЭК,1015,Моторное масло 5W-40,17,266.11,4523.81,2025-03-21
81,85,Почта России,1015,Моторное масло 5W-40,7,168.81,1181.64,2025-08-21
82,86,Байкал Сервис,1015,Моторное масло 5W-40,5,271.64,1358.22,2025-11-12
83,87,ПЭК,1005,Свечи зажигания,11,299.61,3295.72,2025-04-07
84,88,ПЭК,1016,Антифриз G12,10,294.58,2945.82,2025-07-13
85,89,СДЭК,1017,Тормозная жидкость DOT-4,9,236.32,2126.92,2025-04-18
86,90,Байкал Сервис,1017,Тормозная жидкость DOT-4,12,239.36,2872.28,2025-05-03
87,91,СДЭК,1007,Амортизатор задний,10,224.55,2245.46,2025-07-23
88,93,СДЭК,1016,Антифриз G12,15,234.21,3513.11,2025-01-25
89,94,СДЭК,1008,Ремень ГРМ,17,277.75,4721.74,2025-05-19
90,95,Байкал Сервис,1002,Тормозные колодки задние,6,272.61,1635.64,2025-01-01
91,96,Деловые линии,1007,Амортизатор задний,18,371.15,6680.7,2025-12-29
92,99,ПЭК,1010,Радиатор охлаждения,3,342.49,1027.46,2025-03-20
93,100,Байкал Сервис,1012,Стартер,6,283.43,1700.6,2025-11-10
94,101,Почта России,1011,Генератор,16,197.55,3160.81,2025-05-11
95,102,Деловые линии,1012,Стартер,18,301.08,5419.44,2025-11-27
96,103,Деловые линии,1009,Помпа водяная,6,319.45,1916.7,2025-08-20
97,104,Байкал Сервис,1009,Помпа водяная,8,239.52,1916.13,2025-06-18
98,105,Почта России,1008,Ремень ГРМ,20,151.33,3026.54,2025-05-23
99,106,Байкал Сервис,1018,Щётки стеклоочистителя,16,312.79,5004.61,2025-12-19
100,107,Почта России,1008,Ремень ГРМ,20,211.24,4224.87,2025-05-05
101,108,Почта России,1017,Тормозная жидкость DOT-4,12,159.24,1910.84,2025-08-06
102,109,Байкал Сервис,1017,Тормозная жидкость DOT-4,3,293.06,879.17,2025-03-29
103,110,ПЭК,1001,Тормозные колодки передние,20,282.17,5643.44,2025-11-28
104,111,Деловые линии,1004,Воздушный фильтр,14,296.01,4144.08,2025-08-09
105,112,Байкал Сервис,1011,Генератор,15,273.8,4106.95,2025-04-18
106,113,Почта России,1011,Генератор,18,144.53,2601.53,2025-01-26
107,114,СДЭК,1014,Аккумулятор 75Ah,3,231.26,693.78,2025-08-27
108,115,Байкал Сервис,1011,Генератор,5,313.49,1567.43,2025-05-12
109,116,Байкал Сервис,1003,Масляный фильтр,11,258.73,2846.01,2025-06-03
110,117,Почта России,1004,Воздушный фильтр,1,149.91,149.91,2025-08-08
111,118,ПЭК,1017,Тормозная жидкость DOT-4,18,338.96,6101.26,2025-08-13
112,119,ПЭК,1005,Свечи зажигания,6,270.65,1623.92,2025-12-09
113,120,Байкал Сервис,1019,Лампы H4,20,313.74,6274.72,2025-04-18
114,121,Байкал Сервис,1004,Воздушный фильтр,5,285.88,1429.4,2025-05-07
115,122,Деловые линии,1012,Стартер,6,374.31,2245.89,2025-01-05
116,123,ПЭК,1011,Генератор,3,323.56,970.69,2025-11-21
117,124,Деловые линии,1007,Амортизатор задний,10,264.68,2646.78,2025-05-21
118,125,Байкал Сервис,1015,Моторное масло 5W-40,10,282.42,2824.25,2025-12-31
119,126,Байкал Сервис,1014,Аккумулятор 75Ah,10,248.83,2488.3,2025-07-22
120,127,СДЭК,1009,Помпа водяная,8,229.41,1835.29,2025-04-13
121,128,Почта России,1001,Тормозные колодки передние,8,149.39,1195.15,2025-05-21
122,129,Почта России,1012,Стартер,19,198.11,3764.03,2025-02-22
